Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
1483.29;129.124;205.324;208.004;205.526;207.014;210.796;194.006
1488.89;129.464;205.668;204.688;205.548;207.376;209.628;192.739
1494.51;130.756;207.264;206.148;207.170;209.312;212.324;191.536
1500.20;132.152;207.032;210.932;207.955;208.268;211.880;191.791
1505.83;132.528;207.736;206.780;207.855;208.348;210.416;190.442
1511.48;134.600;212.032;207.924;206.730;213.108;210.520;189.721
1517.14;133.000;208.444;210.340;209.685;208.640;210.508;183.145
1522.81;131.350;207.640;208.476;211.425;209.412;211.616;183.488
1528.49;129.800;210.728;208.248;208.850;212.880;212.236;181.754
1534.18;129.100;209.160;208.760;210.900;211.556;213.032;182.088
1539.89;128.500;209.184;208.468;212.100;212.180;213.820;180.936
1545.61;126.950;210.580;210.376;209.710;211.930;212.336;179.930
1551.36;124.225;210.792;210.188;210.240;211.748;212.975;180.482
1557.11;121.325;211.536;211.344;210.360;212.268;213.837;179.627
1562.88;119.100;211.692;212.752;210.415;211.956;214.745;178.921
1568.66;117.002;211.608;209.980;211.385;212.768;215.363;178.027
1574.45;114.780;213.716;211.004;212.345;214.452;215.841;178.097
1580.25;112.676;211.416;212.224;213.430;211.752;217.675;176.936
1586.07;110.588;212.488;212.508;213.795;213.700;217.907;176.803
1591.90;108.998;213.520;212.720;212.720;215.960;217.878;176.509
1597.73;106.558;213.145;214.180;213.605;215.508;217.974;175.433
1603.57;104.780;214.283;215.132;214.080;215.664;218.971;175.303
1609.42;102.884;215.037;215.556;214.565;216.480;218.529;174.330
1615.29;101.388;216.192;216.176;214.850;217.408;219.412;173.912
1621.16;99.798;216.209;216.036;215.710;217.564;220.615;173.221
1627.04;97.514;217.019;217.488;216.170;218.276;220.611;170.775
1632.95;96.024;216.827;216.296;216.475;218.160;220.878;169.342
1638.87;93.528;218.074;217.552;216.940;219.880;221.658;168.621
1644.81;89.456;217.654;219.212;217.305;218.572;221.628;166.563
1650.77;84.034;218.510;218.248;217.150;219.576;222.020;164.366
1656.75;88.296;219.783;218.848;217.130;221.552;222.152;161.778
1662.74;87.714;218.808;219.320;218.650;221.056;223.860;161.506
1668.74;86.640;220.338;218.456;219.405;221.780;222.644;158.881
1674.75;85.711;221.410;219.228;219.670;222.612;222.502;157.151
1680.78;84.957;221.136;220.780;220.010;221.624;223.610;156.324
1686.81;84.030;222.010;221.735;220.050;222.012;223.490;154.166
1692.86;83.003;222.009;222.168;219.820;223.372;224.168;150.899
1698.92;81.849;224.002;222.601;220.915;224.160;225.196;148.569
1704.99;80.603;223.108;222.952;221.815;223.748;225.872;148.597
1711.08;79.611;223.546;222.464;222.050;224.336;226.224;145.884
1717.17;78.884;225.329;223.224;221.750;224.718;226.734;143.957
1723.28;78.057;224.600;223.548;222.540;225.017;227.976;142.930
1729.40;77.157;225.130;224.108;222.870;226.155;228.112;142.512
1735.53;76.311;226.280;224.240;223.420;225.727;227.922;140.560
1741.67;75.719;224.690;224.724;224.620;226.036;228.122;139.142
1747.83;75.365;225.580;224.984;225.085;226.481;228.810;138.324
1754.06;71.072;226.150;224.832;225.004;227.381;229.139;117.454
1760.24;71.112;227.010;225.208;225.936;228.164;229.405;116.236
1766.44;71.456;227.640;225.388;226.468;227.872;230.027;113.775
1772.65;71.768;227.880;226.480;227.120;228.663;230.666;112.924
1778.87;72.396;228.530;227.392;226.980;229.426;230.473;111.348
1785.10;72.984;229.050;227.356;227.228;230.664;231.176;110.330
1791.35;73.396;228.740;228.056;227.532;230.318;231.495;108.651
1797.61;74.208;228.880;228.684;228.156;230.446;231.910;107.824
1803.87;75.252;228.540;228.604;228.260;230.017;231.934;106.733
1810.15;76.404;229.940;229.760;229.044;231.254;234.506;105.536
1816.44;78.008;230.280;229.340;229.588;231.854;233.360;104.239
1822.74;79.192;231.380;229.848;230.172;232.364;232.180;103.327
1829.06;80.508;231.950;230.640;230.768;232.036;233.240;102.233
1835.39;81.590;230.020;233.280;231.168;232.463;234.020;101.521
1841.73;82.474;231.600;231.836;230.472;233.496;234.900;101.209
1848.08;83.306;233.847;231.164;230.636;237.086;235.900;99.939
1854.45;84.967;232.053;231.940;233.148;233.044;234.740;99.512
1860.83;87.209;233.313;232.496;235.124;234.464;236.160;99.015
1867.22;89.367;233.678;233.632;231.800;234.154;236.240;97.836
1873.62;91.377;232.988;233.960;233.472;234.844;236.280;97.315
1880.03;92.445;233.078;233.580;233.636;236.345;237.420;96.912
1886.45;93.032;235.147;234.516;233.844;236.611;236.800;96.027
1892.89;93.948;234.243;234.716;234.496;235.024;231.940;95.903
1899.34;95.235;235.791;235.108;234.948;237.598;225.500;95.997
1905.80;96.648;234.665;237.356;235.544;230.617;216.440;95.030
1912.26;97.848;233.610;235.132;236.068;231.575;212.177;96.067
1918.74;99.164;230.830;228.160;234.600;229.102;209.940;95.906
1925.23;100.851;223.380;221.492;236.668;226.785;204.229;95.706
1931.74;102.693;216.181;202.760;236.168;222.520;194.025;95.991
1938.25;104.480;202.228;199.504;232.504;211.771;177.041;96.679
1944.77;106.190;188.051;193.832;224.872;213.338;186.500;96.603
1951.29;107.530;188.013;193.880;211.116;211.420;195.909;96.794
1957.81;109.360;194.786;189.576;202.024;208.530;189.062;96.897
1964.33;110.950;195.333;183.464;200.516;203.890;186.939;97.288
1970.83;113.000;197.436;195.916;201.384;191.320;185.499;97.009
1977.30;114.330;191.826;197.864;196.232;185.700;180.065;97.485
1983.72;116.370;194.356;191.420;187.900;197.460;177.931;97.403
1990.10;118.030;192.776;188.264;188.356;188.880;169.745;97.497
1996.41;118.320;186.780;188.240;195.684;179.590;150.938;97.888
2002.62;117.110;182.040;179.668;187.024;178.330;157.950;97.609
2008.68;117.020;175.252;181.000;181.060;175.590;163.120;98.182
2014.59;122.617;171.936;173.436;184.628;173.190;155.484;103.706
2020.40;123.441;172.216;166.024;177.700;175.970;156.316;105.543
2026.15;124.448;172.124;168.584;172.558;168.670;155.368;106.133
2031.72;125.062;169.636;168.024;171.555;162.960;150.258;106.684
2037.17;125.603;166.836;163.188;165.904;170.140;146.750;107.476
2042.51;126.748;166.236;157.012;167.176;164.750;141.930;108.664
2047.76;127.238;159.864;153.436;167.758;161.200;140.186;108.409
2052.93;127.441;155.832;150.112;162.971;156.850;139.450;109.564
2058.02;128.448;154.608;146.688;160.494;149.370;137.182;110.037
2063.07;129.310;150.628;145.144;156.842;142.760;135.140;110.487
2068.05;129.907;145.788;142.040;152.961;142.060;129.892;110.646
2072.93;129.917;143.528;139.904;148.964;138.570;121.422;110.796
2077.67;130.741;139.516;136.260;145.239;134.660;114.410;111.673
2082.31;131.748;136.712;133.244;140.716;134.210;113.183;112.185
2086.85;132.610;134.640;130.092;137.368;133.050;113.430;113.267
2091.30;133.672;131.790;127.420;133.731;129.570;111.917;114.464
2095.65;134.965;128.790;124.160;130.845;126.360;110.359;114.694
2099.89;135.936;126.138;123.396;129.271;123.880;108.774;115.961
2104.02;136.408;122.929;119.748;126.350;120.790;107.316;116.679
2108.04;137.636;121.282;117.792;123.126;118.780;106.629;117.185
2111.96;137.980;118.316;115.312;121.853;117.470;106.215;118.655
2115.77;139.576;115.290;114.116;118.642;115.160;105.145;118.894
2119.47;141.248;114.117;111.920;116.130;112.260;103.759;119.773
2123.07;142.264;111.390;110.840;114.390;105.940;102.231;120.770
2126.57;142.592;109.608;108.936;112.019;108.910;101.044;121.819
2129.99;143.352;107.312;108.080;110.682;108.000;99.731;122.868
2133.31;144.932;106.652;106.620;109.578;107.070;97.518;123.385
2136.56;146.988;104.860;105.564;108.645;106.750;96.848;123.788
2139.74;147.664;104.165;103.904;107.515;106.014;96.808;125.158
2142.85;148.504;103.752;102.792;106.682;103.634;95.716;125.976
2145.91;150.480;102.395;102.612;105.541;102.979;94.988;126.291
2148.92;151.436;101.765;101.568;104.656;101.813;95.348;127.755
2151.89;151.748;100.482;101.224;103.715;100.190;95.476;128.091
2154.82;153.116;99.691;101.444;102.993;99.278;94.740;129.943
2157.72;154.160;99.078;100.784;102.078;98.869;94.244;129.806
2160.59;154.698;98.043;100.528;101.626;96.923;94.144;130.382
2163.44;155.694;97.470;99.748;101.389;96.245;94.436;132.049
2166.26;157.164;96.454;100.292;101.163;95.569;94.812;133.458
2169.06;158.063;96.472;100.192;100.878;93.799;95.292;133.694
2171.83;158.140;96.844;100.156;100.204;94.820;95.152;133.603
2174.58;156.701;96.298;100.632;99.571;96.886;95.192;135.443
2177.32;160.033;96.372;98.564;99.221;99.013;95.724;139.309
2180.05;160.298;96.744;97.104;98.889;97.720;95.845;139.494
2182.76;160.667;96.542;98.332;98.774;99.401;95.882;139.209
2185.49;160.804;96.930;98.740;98.482;98.677;96.033;137.163
2188.19;161.710;96.914;99.256;98.066;99.267;96.375;140.010
2190.88;162.734;97.502;99.892;98.443;98.978;96.215;139.615
2193.56;163.106;97.256;99.928;98.293;98.635;96.505;140.182
2196.23;163.598;98.404;101.464;98.314;97.454;97.055;140.103
2198.90;163.978;98.256;102.224;98.728;98.623;97.348;140.973
2201.56;165.440;98.802;102.596;99.062;98.033;97.798;141.388
2204.22;165.760;99.502;103.668;99.570;98.344;98.055;143.049
2206.88;165.202;99.858;103.292;100.690;98.656;98.760;143.488
2209.55;166.216;100.588;103.176;101.266;98.245;100.015;144.179
2212.21;167.664;101.130;102.876;101.776;97.624;100.710;144.879
2214.88;167.468;101.544;102.608;101.482;96.090;101.790;145.676
2217.56;167.872;102.025;102.740;100.914;95.321;102.985;145.991
2220.25;168.570;101.760;103.312;101.214;96.322;103.894;147.261
2222.95;168.934;102.210;104.728;101.286;96.511;104.994;147.688
2225.65;169.544;102.640;106.304;101.822;96.787;106.094;148.379
2228.36;171.110;101.935;107.492;102.734;98.388;107.248;148.594
2231.07;171.896;102.650;107.488;102.642;99.199;108.016;149.570
2233.79;171.570;102.205;108.620;103.504;100.209;108.092;150.570
2236.51;171.980;102.780;110.088;104.228;102.043;107.892;151.085
2239.23;172.675;103.750;111.188;104.676;103.277;108.394;151.294
2241.95;173.245;104.070;112.416;104.914;103.933;108.252;152.658
2244.69;174.015;105.120;114.908;105.784;104.068;108.564;152.215
2247.43;174.565;105.470;115.056;107.242;102.968;109.408;153.849
2250.18;174.920;106.775;114.812;108.522;101.796;110.796;153.997
2252.94;175.840;107.425;104.288;109.662;100.216;111.738;155.164
2255.71;176.310;108.350;100.952;110.170;99.744;112.734;155.976
2258.49;176.875;109.435;104.048;110.188;100.872;113.753;156.388
2261.29;177.270;111.130;100.672;108.396;101.580;114.807;155.818
2264.10;177.820;111.655;100.433;107.444;102.804;115.647;151.920
2266.94;178.670;112.210;102.333;107.498;102.232;116.342;152.382
2269.81;179.325;112.980;104.212;108.686;103.392;117.901;152.594
2272.70;180.090;113.780;105.784;109.526;104.992;119.283;151.921
2275.60;180.505;114.908;107.138;111.390;106.616;120.383;151.124
2278.51;181.545;116.024;110.489;112.802;108.260;121.748;149.936
2281.43;180.910;116.620;113.077;114.638;108.844;122.871;148.639
2284.36;181.588;117.372;114.233;115.346;109.960;123.359;147.048
2287.30;182.352;118.928;115.930;116.628;110.628;124.189;145.739
2290.27;184.808;120.040;114.916;117.456;112.396;124.959;129.602
2293.25;184.748;121.292;113.870;118.656;113.304;125.842;127.851
2296.25;184.696;122.340;114.926;119.552;114.968;127.189;128.188
2299.27;185.112;123.340;116.656;120.522;116.308;128.807;126.260
2302.35;185.032;124.592;117.610;121.890;117.292;129.960;124.163
2305.54;185.548;126.144;120.540;122.356;118.796;130.460;122.160
2308.74;184.524;127.156;122.512;123.146;119.668;131.740;120.160
2311.96;183.463;128.980;124.021;124.936;120.936;133.376;117.384
2315.21;183.215;131.064;124.370;126.615;121.344;134.676;115.263
2318.49;182.752;131.148;125.342;127.164;122.520;135.768;112.581
2321.80;182.463;132.444;125.879;128.436;123.532;137.084;108.620
2325.14;182.289;131.608;125.677;130.056;124.704;138.472;106.269
2328.50;182.729;131.904;126.798;130.885;126.236;140.664;105.133
2331.90;183.652;132.840;128.268;131.839;126.656;141.992;102.772
2335.32;183.622;133.924;130.577;132.329;128.076;140.552;99.402
2338.78;183.852;134.436;131.621;133.585;130.208;139.296;97.263
2342.26;184.081;136.824;132.047;135.709;131.300;139.928;93.902
2345.79;184.567;137.466;134.147;137.366;133.308;146.216;93.509
2349.34;184.296;138.330;136.023;137.468;132.128;147.014;93.888
2352.92;185.392;141.405;135.140;139.370;134.076;144.279;94.579
2356.55;186.215;140.589;137.028;140.693;136.148;146.975;93.727
2360.20;185.604;141.379;137.547;140.407;136.584;148.608;92.439
2363.88;185.396;144.422;139.423;141.629;137.408;149.459;89.975
2367.60;186.085;144.336;138.561;144.016;138.956;149.798;88.736
2371.35;186.252;143.619;140.791;145.842;140.052;150.159;89.379
2375.14;186.532;144.662;142.007;144.929;140.660;151.416;89.206
2378.95;187.210;147.058;142.366;146.107;142.569;153.271;88.909
2382.80;187.318;147.085;145.886;147.173;143.726;154.147;87.736
2386.68;188.171;149.075;145.770;149.043;144.251;155.479;87.118
2390.59;188.621;150.247;146.833;151.105;146.717;157.155;86.324
2394.55;188.862;150.732;148.705;150.995;147.526;157.247;85.815
2398.53;188.914;152.128;150.149;151.885;147.882;159.140;85.509
2402.56;189.632;154.060;150.870;153.892;149.347;161.202;85.015
2406.62;190.044;154.566;151.940;155.132;151.130;160.650;87.425
2410.71;189.756;156.260;153.779;155.453;152.130;161.250;88.470
2414.85;190.386;157.845;153.682;156.983;153.208;163.250;87.239
2419.01;190.238;157.608;156.233;156.761;154.678;163.700;89.819
2423.21;190.794;159.714;157.958;158.182;155.460;164.250;89.415
2427.44;191.220;160.938;157.519;160.929;157.265;165.900;88.624
2431.70;191.246;160.444;159.163;161.210;157.778;166.650;89.376
2435.99;192.946;162.760;160.014;161.341;158.417;164.450;90.176
2440.31;194.561;163.792;160.368;163.046;159.005;163.275;93.808
2444.66;194.617;164.023;162.670;164.017;157.596;165.225;95.158
2449.04;194.722;164.173;163.593;164.941;156.848;168.000;95.976
2453.45;194.717;166.168;163.598;164.540;157.215;169.925;95.127
2457.89;195.524;167.010;164.991;161.905;161.857;170.175;96.361
2462.36;196.344;163.902;166.256;162.653;161.056;170.850;96.594
2466.84;196.997;164.143;166.867;165.977;162.295;171.700;96.794
2471.39;197.893;165.293;165.058;167.400;163.665;172.735;96.121
2475.90;197.022;168.042;164.465;166.600;164.230;174.039;98.234
2480.42;196.822;169.174;164.217;168.580;165.269;175.629;98.688
2484.96;196.934;169.546;167.198;169.060;166.608;176.602;99.961
2489.53;197.340;170.092;168.619;169.140;168.020;177.039;100.679
2494.12;197.480;170.856;170.214;170.440;168.169;177.943;101.621
2498.72;198.000;171.820;170.582;171.640;168.482;178.643;102.571
2503.34;198.960;172.820;172.979;172.280;169.895;179.343;101.824
2507.98;199.100;174.558;172.714;174.060;171.265;179.504;103.449
2512.63;198.740;174.495;173.068;175.460;171.752;180.280;103.694
2517.30;199.460;175.291;175.216;175.380;172.308;181.545;104.767
2521.99;199.760;176.391;174.289;176.580;173.843;182.535;105.673
2526.70;199.320;177.491;176.807;176.960;174.772;183.251;105.021
2531.45;199.440;177.781;176.921;177.960;174.754;184.376;107.328
2536.24;199.840;178.853;177.403;178.480;175.882;183.392;107.594
2541.06;199.960;179.424;180.079;179.500;177.028;180.040;108.570
2545.91;200.110;180.715;179.912;180.720;177.312;176.792;109.182
2550.79;200.040;181.081;181.442;181.760;178.322;172.288;110.461
2555.71;200.060;182.477;182.126;183.060;180.174;169.616;111.179
2560.66;200.710;183.367;183.506;184.210;179.778;165.936;112.267
2565.65;201.180;184.877;179.411;184.780;182.184;161.968;114.240
2570.65;201.013;178.234;176.627;185.200;182.756;157.036;113.233
2575.68;200.559;174.494;172.657;185.300;181.896;150.184;115.334
2580.71;200.787;169.545;167.897;181.460;174.066;145.120;116.079
2585.76;201.036;163.802;164.591;174.860;170.434;135.904;116.779
2590.80;200.636;160.918;156.255;168.180;164.094;129.252;117.285
2595.81;201.097;159.609;152.678;163.820;160.942;134.048;118.367
2600.81;201.444;158.590;148.302;162.520;157.474;136.372;118.982
2605.77;200.951;150.786;146.916;155.760;159.824;130.608;119.970
2610.69;201.395;149.640;145.429;149.760;149.828;122.818;120.776
2615.55;200.895;142.600;140.577;145.720;132.744;117.341;121.867
2620.33;200.641;138.320;141.215;131.080;131.504;114.962;121.997
2625.04;200.618;137.460;135.953;123.220;127.736;107.682;123.067
2629.62;198.450;135.400;133.265;119.440;137.700;104.063;124.167
2634.04;98.840;132.100;122.856;120.060;133.204;102.357;126.382
2638.33;98.310;129.160;113.467;122.720;130.166;94.799;125.236
2642.50;97.885;125.240;101.637;116.780;118.466;93.314;123.648
2646.58;97.095;120.480;91.423;106.440;115.842;99.138;124.279
2650.54;96.330;118.860;90.162;107.320;116.212;100.919;124.009
2654.38;95.730;117.500;87.014;103.360;116.746;96.786;122.933
2658.12;94.995;115.360;87.046;96.320;115.548;94.769;122.997
2661.75;94.455;112.580;84.965;95.960;113.790;98.315;122.515
2665.27;94.490;108.800;85.151;98.020;112.094;99.525;121.724
2668.72;94.240;98.880;94.157;96.083;108.522;97.326;121.506
2672.04;93.755;93.080;98.725;90.251;100.360;95.564;121.306
2675.26;93.655;92.520;96.498;83.319;90.550;93.964;120.427
2678.40;93.555;90.040;97.727;79.711;87.882;92.640;120.109
2681.47;93.455;94.680;96.676;81.239;83.258;91.870;119.809
2684.46;93.805;94.240;95.539;88.893;74.680;91.232;118.636
2687.39;94.480;95.720;93.218;92.093;77.030;90.202;118.503
2690.24;94.835;95.884;90.702;89.639;82.524;88.856;117.239
2693.04;95.135;93.114;89.491;88.482;92.710;91.182;115.745
2695.78;95.806;91.215;90.693;88.518;93.435;94.156;115.312
2698.45;96.308;89.557;90.523;87.744;90.650;93.308;113.651
2701.08;96.522;89.516;89.724;86.595;89.755;92.694;112.824
2703.65;97.038;89.047;92.826;86.095;89.485;92.698;110.860
2706.18;97.246;88.347;94.542;85.349;90.510;93.860;109.733
2708.68;97.668;87.805;95.107;85.356;96.380;93.986;107.857
2711.14;98.422;88.095;95.228;86.997;93.910;93.770;107.024
2713.57;98.708;89.622;95.523;88.492;93.625;94.685;104.866
2715.98;98.784;90.316;94.563;89.077;95.020;95.670;103.345
2718.37;99.184;91.980;95.442;89.638;95.685;96.045;102.524
2720.75;99.262;91.136;96.049;90.577;95.915;95.695;99.881
2723.12;99.192;93.249;96.679;90.031;97.535;95.830;98.248
2725.48;99.530;93.347;96.477;90.320;96.780;96.420;97.812
2727.85;99.662;94.938;97.514;92.238;97.845;96.425;95.181
2730.22;99.868;95.874;97.735;93.013;98.175;96.925;94.712
2732.60;100.392;96.316;98.179;91.944;98.705;97.740;91.693
2734.99;100.638;96.953;97.977;91.984;99.510;98.220;91.794
2737.39;101.168;97.574;98.976;93.769;100.460;98.810;91.218
2739.81;101.647;97.154;98.626;93.931;99.310;99.305;90.424
2742.23;102.170;98.794;98.398;94.138;100.530;98.925;90.497
2744.67;102.794;99.144;99.749;95.118;100.775;99.425;88.948
2747.12;103.041;100.738;100.435;94.918;101.365;99.084;88.803
2749.59;103.623;102.682;100.991;95.169;102.405;98.256;88.606
2752.07;111.799;101.384;102.263;96.684;102.820;99.124;92.073
2754.57;112.935;101.212;103.142;97.895;101.770;100.124;91.809
2757.09;113.999;103.094;103.672;98.666;101.900;101.616;92.382
2759.64;115.088;104.926;103.342;100.692;103.585;104.152;93.176
2762.21;115.876;106.704;104.026;101.195;103.575;105.436;93.588
2764.80;117.076;107.802;105.714;102.253;103.910;107.380;94.182
2767.42;117.940;108.312;106.075;104.446;103.505;109.028;95.073
2770.06;118.968;106.606;108.474;105.251;104.205;110.580;95.779
2772.74;120.568;106.568;109.523;106.679;105.055;112.624;96.188
2775.47;121.832;107.012;110.570;108.538;106.755;113.888;97.364
2778.26;122.876;107.178;111.717;109.936;108.335;115.012;98.370
2781.06;124.316;109.228;114.663;110.946;109.400;116.212;98.885
2783.90;125.440;110.112;115.486;113.338;111.325;117.046;99.870
2786.77;126.324;111.994;115.433;115.852;112.735;119.289;100.482
2789.67;127.960;113.514;117.228;117.712;113.628;120.514;100.694
2792.61;129.432;114.580;117.628;119.842;114.492;120.959;101.282
2795.59;130.236;115.570;117.993;120.530;115.788;122.947;103.919
2798.60;130.888;116.493;118.040;121.316;117.396;124.643;104.097
2801.66;132.784;117.624;120.026;121.452;118.060;123.109;104.294
2804.78;134.596;119.979;121.721;123.564;118.964;121.172;103.815
2807.94;134.604;118.829;122.245;122.136;119.524;124.539;106.710
2811.13;135.364;121.303;125.584;116.716;120.716;128.614;105.248
2814.36;136.643;123.740;126.833;117.566;121.280;128.371;106.558
2817.63;137.343;123.507;128.229;121.840;124.056;128.759;106.503
2820.94;138.288;124.301;123.293;125.144;124.904;130.188;108.246
2824.28;139.635;124.908;124.866;124.436;121.996;131.057;107.815
2827.62;140.939;125.693;145.768;125.824;121.600;131.989;109.352
2830.97;142.186;127.825;129.505;128.444;128.092;134.140;110.855
2834.34;143.831;130.248;130.977;129.250;128.972;135.594;111.191
2837.73;144.849;129.722;132.014;129.102;128.396;136.966;111.006
2841.14;145.978;132.095;132.438;131.866;129.204;138.090;112.358
2844.57;147.541;132.823;135.656;132.906;130.896;138.724;113.273
2848.04;148.539;133.262;136.456;133.172;131.720;140.336;113.882
2851.55;149.688;135.710;137.263;134.562;133.736;141.262;115.064
2855.10;151.035;136.554;138.170;135.704;135.372;142.614;116.943
2858.70;152.143;137.986;139.212;137.492;135.004;143.810;117.194
2862.31;152.696;139.170;140.749;139.084;136.712;144.730;117.879
2865.94;153.978;140.692;141.505;140.082;137.588;146.314;119.258
2869.61;155.737;141.404;143.012;141.678;139.372;147.552;119.785
2873.33;157.037;142.412;144.549;142.830;140.992;148.446;121.061
2877.08;158.300;143.764;145.312;144.246;142.272;149.830;122.167
2880.86;162.050;144.784;146.898;145.336;143.796;150.868;131.934
2884.68;163.400;146.064;148.235;146.556;144.524;151.797;132.485
2888.54;163.850;147.692;148.819;148.062;146.020;153.702;133.082
2892.45;165.250;148.556;150.484;148.952;147.780;155.164;134.652
2896.39;165.650;149.612;151.642;150.056;148.408;155.851;134.603
2900.35;166.450;150.964;152.368;151.436;149.756;157.279;135.473
2904.33;166.700;152.212;154.663;152.110;151.116;158.564;135.694
2908.34;167.350;153.716;155.584;152.988;151.360;158.964;136.767
2912.36;168.712;155.392;156.735;153.968;152.600;159.692;137.091
2916.41;169.249;156.256;157.305;154.914;154.684;161.261;137.876
2920.52;169.149;157.084;158.714;156.110;154.712;160.901;139.355
2924.68;170.324;157.984;158.977;157.576;155.725;156.837;139.303
2928.93;171.194;158.960;160.098;159.458;157.953;152.947;140.367
2933.17;171.818;160.340;161.575;159.972;158.819;149.196;140.788
2937.43;173.210;161.612;163.928;156.760;159.485;145.042;141.576
2941.72;173.802;162.280;164.132;152.372;160.121;140.440;142.764
2946.04;174.359;160.975;161.403;150.708;161.319;136.740;142.703
2950.37;172.658;155.250;154.695;147.340;160.557;135.060;142.118
2954.70;169.172;151.250;152.586;143.405;153.745;130.580;143.361
2959.01;165.199;146.825;142.463;139.012;151.956;127.700;143.691
2963.28;156.937;143.725;133.979;135.649;148.977;128.160;144.961
2967.49;149.054;139.500;133.098;131.110;146.448;123.620;145.291
2971.62;150.115;138.675;124.190;129.142;141.715;117.920;146.658
